plant_id,similar_plants
562,"[{'plant_id': 223, 'common_name': 'Weeping Nootka Cypress', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 249, 'common_name': 'Cherokee Sunset Flowering Dogwood', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 344, 'common_name': 'Kobus Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 629, 'common_name': 'creeping bent grass', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 630, 'common_name': 'cloud grass', 'cycle': 'Perennial', 'watering': 'Average'}]"
563,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
564,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
565,"[{'plant_id': 198, 'common_name': 'Japanese Hornbeam', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 861, 'common_name': 'zebra plant', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1123, 'common_name': 'northern lady fern', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1124, 'common_name': 'northern lady fern', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 566, 'common_name': 'bottlebrush buckeye', 'cycle': 'Perennial', 'watering': 'Average'}]"
566,"[{'plant_id': 198, 'common_name': 'Japanese Hornbeam', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 861, 'common_name': 'zebra plant', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1123, 'common_name': 'northern lady fern', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1124, 'common_name': 'northern lady fern', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 565, 'common_name': 'bottlebrush buckeye', 'cycle': 'Perennial', 'watering': 'Average'}]"
567,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
568,"[{'plant_id': 2532, 'common_name': 'song of India', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 455, 'common_name': 'full moon maple', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 288, 'common_name': 'Common Fig', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 1789, 'common_name': 'purple cestrum', 'cycle': 'Perennial', 'watering': 'Minimum'}, {'plant_id': 2289, 'common_name': 'umbrella plant', 'cycle': 'Perennial', 'watering': 'Minimum'}]"
569,"[{'plant_id': 808, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 316, 'common_name': 'Vossii Laburnum', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 98, 'common_name': 'Pendulum Julian Japanese Maple*', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 97, 'common_name': 'Peaches And Cream Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}, {'plant_id': 94, 'common_name': 'Otake Japanese Maple', 'cycle': 'Perennial', 'watering': 'Frequent'}]"
570,"[{'plant_id': 223, 'common_name': 'Weeping Nootka Cypress', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 249, 'common_name': 'Cherokee Sunset Flowering Dogwood', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 344, 'common_name': 'Kobus Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 629, 'common_name': 'creeping bent grass', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 630, 'common_name': 'cloud grass', 'cycle': 'Perennial', 'watering': 'Average'}]"
571,"[{'plant_id': 1473, 'common_name': 'marigold', 'cycle': 'Annual', 'watering': 'Average'}, {'plant_id': 755, 'common_name': ""Joseph's coat"", 'cycle': 'Annual', 'watering': 'Average'}, {'plant_id': 1325, 'common_name': 'Brussels sprouts', 'cycle': 'Annual', 'watering': 'Average'}, {'plant_id': 1324, 'common_name': 'cabbage', 'cycle': 'Annual', 'watering': 'Average'}, {'plant_id': 1332, 'common_name': 'Chinese cabbage', 'cycle': 'Annual', 'watering': 'Average'}]"
572,"[{'plant_id': 346, 'common_name': 'Oyama Magnolia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 431, 'common_name': 'black cat claw', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 428, 'common_name': 'flowering-maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 430, 'common_name': 'koa', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 684, 'common_name': 'garlic', 'cycle': 'Perennial', 'watering': 'Average'}]"
573,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
574,"[{'plant_id': 1150, 'common_name': 'spotted laurel', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 546, 'common_name': 'delta maidenhair fern', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 715, 'common_name': ""giant elephant's ear"", 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1822, 'common_name': 'bamboo palm', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 1820, 'common_name': 'parlor palm', 'cycle': 'Perennial', 'watering': 'Average'}]"
575,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
576,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
577,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
578,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
579,"[{'plant_id': 470, 'common_name': 'shantung maple', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 400, 'common_name': 'glossy abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 398, 'common_name': 'Chinese abelia', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 806, 'common_name': 'windflower', 'cycle': 'Perennial', 'watering': 'Average'}, {'plant_id': 392, 'common_name': 'Sourwood', 'cycle': 'Perennial', 'watering': 'Average'}]"
580,"[{'plant_id': 638, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 585, 'common_name': 'giant hyssop', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 438, 'common_name': ""bear's breeches"", 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 831, 'common_name': 'snowdrop windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 640, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
581,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
582,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
583,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
584,"[{'plant_id': 1453, 'common_name': 'Carolina fanwort', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 641, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 661, 'common_name': 'northern water plantain', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1598, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 794, 'common_name': 'pearly everlasting', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}]"
585,"[{'plant_id': 638, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 644, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 642, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 522, 'common_name': 'bugbane', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 831, 'common_name': 'snowdrop windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
586,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
587,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
588,"[{'plant_id': 1863, 'common_name': 'chrysanthemum', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1604, 'common_name': 'pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1270, 'common_name': 'chocolate flower', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1868, 'common_name': 'chrysanthemum', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 947, 'common_name': 'thrift', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}]"
589,"[{'plant_id': 638, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 644, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 642, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 522, 'common_name': 'bugbane', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 831, 'common_name': 'snowdrop windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
590,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
591,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
592,"[{'plant_id': 638, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 485, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 643, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 642, 'common_name': 'bugleweed', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 438, 'common_name': ""bear's breeches"", 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
593,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
594,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
595,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1601, 'common_name': 'ornamental pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
596,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
597,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
598,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
599,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
600,"[{'plant_id': 1863, 'common_name': 'chrysanthemum', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 850, 'common_name': 'golden chamomile', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1270, 'common_name': 'chocolate flower', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1868, 'common_name': 'chrysanthemum', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}, {'plant_id': 1474, 'common_name': 'million bells', 'cycle': 'Herbaceous Perennial', 'watering': 'Frequent'}]"
601,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 595, 'common_name': 'giant hyssop', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
602,"[{'plant_id': 2283, 'common_name': 'artichoke', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1602, 'common_name': 'sweet bell pepper', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 2427, 'common_name': 'pink', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 2428, 'common_name': 'pink', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 2191, 'common_name': 'colewort', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
603,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 595, 'common_name': 'giant hyssop', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
604,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 595, 'common_name': 'giant hyssop', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
605,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 595, 'common_name': 'giant hyssop', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
606,"[{'plant_id': 726, 'common_name': 'coral aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 613, 'common_name': ""Parry's agave"", 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 728, 'common_name': 'aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 2711, 'common_name': 'common water hyacinth', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 618, 'common_name': 'century plant', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}]"
607,"[{'plant_id': 1096, 'common_name': 'two-grooved milkvetch', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 986, 'common_name': 'wormwood', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 1152, 'common_name': 'basket of gold', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 1151, 'common_name': 'basket-of-gold', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 847, 'common_name': 'field pussytoes', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}]"
608,"[{'plant_id': 729, 'common_name': 'lemon verbena', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 595, 'common_name': 'giant hyssop', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 484, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 486, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 490, 'common_name': 'yarrow', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
609,"[{'plant_id': 775, 'common_name': 'blue star', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 1556, 'common_name': 'bellflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 821, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 820, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}, {'plant_id': 819, 'common_name': 'windflower', 'cycle': 'Herbaceous Perennial', 'watering': 'Average'}]"
610,"[{'plant_id': 725, 'common_name': 'Yemen tree aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 612, 'common_name': ""whale's tongue agave"", 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 2711, 'common_name': 'common water hyacinth', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 728, 'common_name': 'aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 726, 'common_name': 'coral aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}]"
611,"[{'plant_id': 725, 'common_name': 'Yemen tree aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 612, 'common_name': ""whale's tongue agave"", 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 2711, 'common_name': 'common water hyacinth', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 728, 'common_name': 'aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}, {'plant_id': 726, 'common_name': 'coral aloe', 'cycle': 'Herbaceous Perennial', 'watering': 'Minimum'}]"
